"Top values of Writer.keyword","Count of records"
"Stephen King",5
"John Hughes",4
"Tyler Perry",4
"Alexander Key",3
"Charles B. Griffith",3
"Dick Kinney",3
"H.G. Wells",3
"Jack DeWitt",3
"Jim Jarmusch",3
"John Morris",3
"Jun'ichi Satô",3
"Mark Bomback",3
"Masaki Kobayashi",3
"Melanie Finn (teleplay)",3
"Peter Barsocchini",3
"Pierre Palmade",3
"Sean Anders",3
"Sergey A.",3
"Shiraz Ahmed",3
"Stan Lee",3
"Stephen Merchant",3
"Styxhexenhammer666 (words)",3
"Todd Phillips",3
"Tom Six",3
"Yuka Yamada",3
"Zenzô Matsuyama",3
"Aaron Ginsburg",2
"Alan Bloom",2
"Alan Ormsby",2
"Alessandro Di Nuzzo",2
"Alex Ranarivelo (story)",2
"Ali Afshar (story)",2
"Alper Caglar",2
"Amir Tomer (script writer)",2
"Andy Warhol",2
"Bill Turner",2
"Brian Burns",2
"Brian McGinn",2
"Can Evrenol",2
"Carey Wilson",2
"Carla Bugalho (creative team)",2
"Charles Addams",2
"Chris McKenna",2
"Chris Romano",2
"Christopher Markus",2
"Claudio Fragasso",2
"Clifford Odets",2
"Crane Wilbur",2
"David Gelb",2
"David Mitchell",2
"Donna Powers",2
"Doug Hullander",2
"Duncan Kennedy",2
"E. Nesbit",2
"Eddie Brown Jr.",2
"Edward D. Wood Jr.",2
"Eric Falconer",2
"Erik Sommers",2
"Ernest Hemingway",2
"Ethan Coen",2
"Evan Spiliotopoulos",2
"Evrim Ersoy",2
"Francis Veber",2
"Geling Yan",2
"Gene Roddenberry",2
"Gonçalo Madaíl (creative team)",2
"Hal E. Chester",2
"Hark Tsui",2
"Henrique Amaro (creative team)",2
"Henry Cobbold (teleplay)",2
"Herman J. Mankiewicz",2
"Howard Lindsay",2
"Ibrahim Büyükak",2
"Ingmar Bergman",2
"Irwin Allen",2
"Joel Coen",2
"Jonathan Sobol",2
"Joseph L. McEveety",2
"Joëlle Bentolila (segment)",2
"Jumpei Gomikawa",2
"Kiran Kotrial",2
"Leonard Nimoy",2
"Lewis Colick",2
"Lisa Immordino Vreeland",2
"Lucy Pepper",2
"Majid Majidi",2
"Marc Grey (script writer)",2
"Maria Ferreira (creative team)",2
"Matt Ember",2
"Melanie Finn (segment)",2
"Melissa Rundle",2
"Melvin Millar",2
"Michael Taylor",2
"Mike Judge",2
"Milt Schaffer",2
"Nuno Artur Silva (creative team)",2
"Nuno Galopim",2
"Patricia Louisianna Knop",2
"Paul Sapiano",2
"Pedro Miguel Ribeiro",2
Other,"1,136"
